Full Index,ON Full,ON Variations,Similarity
47456,The switch required in Sentence (4) shall be identified by the words CIRCULATION FAN.,The switch required in Sentence (4) shall be identified by the words CIRCULATION FAN.,1.0
49765,No Class 5 sewage system shall be operated once it is filled with sanitary sewage until such time as the sanitary sewage is removed from the sewage system.,No Class 5 sewage system shall be operated once it is filled with sanitary sewage until such time as the sanitary sewage is removed from the sewage system.,1.0
49766,The pressure head at the furthest point from the pump in all distribution pipes shall be checked for compliance with Articles 8.7.6.1. and 8.7.8.2. and the design specification at least every 36 months.,The pressure head at the furthest point from the pump in all distribution pipes shall be checked for compliance with Articles 8.7.6.1. and 8.7.8.2. and the design specification at least every 36 months.,1.0
49767,An emergency telephone directly connected to an emergency service or to the local telephone utility shall be installed within 30 m of the public spa.,An emergency telephone directly connected to an emergency service or to the local telephone utility shall be installed within 30 m of the public spa.,1.0
45151,Individual vents and dual vents are permitted to terminate with a connection to an air admittance valve as provided in Articles 7.5.9.2. and 7.5.9.3.,Individual vents and dual vents are permitted to terminate with a connection to an air admittance valve as provided in Articles 7.5.9.2. and 7.5.9.3.,1.0
49768,Any material used to support or form the sidewalls of the cesspool shall be an open jointed material of a type that will permit leaching from the cesspool.,Any material used to support or form the sidewalls of the cesspool shall be an open jointed material of a type that will permit leaching from the cesspool.,1.0
49769,Gypsum board not less than 12.7 mm thick and sheet steel not less than 0.38 mm thick need not be tested in conformance with Sentence (1) provided all joints have continuous support.,Gypsum board not less than 12.7 mm thick and sheet steel not less than 0.38 mm thick need not be tested in conformance with Sentence (1) provided all joints have continuous support.,1.0
49770,For the purposes of Subsections 3.2.2. and 3.2.5. an access route conforming to Subsection 3.2.5. is permitted to be considered as a street.,For the purposes of Subsections 3.2.2. and 3.2.5. an access route conforming to Subsection 3.2.5. is permitted to be considered as a street.,1.0
49771,"Exterior wood doors shall conform to CAN/CSA-O132.2 Series, ""Wood Flush Doors"" and shall have legibly indicated on them,(a) the name of the manufacturer, (b) the standard to which they were produced, and (c) that they are of an exterior type.","Exterior wood doors shall conform to CAN/CSA-O132.2 Series, ""Wood Flush Doors"" and shall have legibly indicated on them,(a) the name of the manufacturer, (b) the standard to which they were produced, and (c) that they are of an exterior type.",1.0
45150,Vertical sanitary drainage pipe shall be designed to carry no more than 29% of its full capacity.,Vertical sanitary drainage pipe shall be designed to carry no more than 29% of its full capacity.,1.0
49772,The band required in Sentence (2) shall be located not more than 50 mm above the butt of the overlying course of shingles.,The band required in Sentence (2) shall be located not more than 50 mm above the butt of the overlying course of shingles.,1.0
49773,Wood furring for the attachment of wall and ceiling finishes shall conform to Table 9.29.3.1.,Wood furring for the attachment of wall and ceiling finishes shall conform to Table 9.29.3.1.,1.0
49775,"Beams shall have even and level bearing and shall have not less than 89 mm length of bearing at end supports, except as required in notes to Tables A-8 to A-11.","Beams shall have even and level bearing and shall have not less than 89 mm length of bearing at end supports, except as required in notes to Tables A-8 to A-11.",1.0
47721,"Except as required in Article 9.10.9.14. and as permitted by Sentence (2), each suite in other than business and personal services occupancies shall be separated from adjoining suites by a fire separation having a fire-resistance rating of not less than 45 min.","Except as required in Article 9.10.9.14. and as permitted by Sentence (2), each suite in other than business and personal services occupancies shall be separated from adjoining suites by a fire separation having a fire-resistance rating of not less than 45 min.",1.0
52783,"Dip tanks having a capacity in excess of 550 L or having a liquid surface area in excess of 1 m2 shall be equipped with a properly trapped overflow pipe that leads to a safe location outside the building or to a closed, vented salvage tank conforming to Subsection 5.13.4.","Dip tanks having a capacity in excess of 550 L or having a liquid surface area in excess of 1 m2 shall be equipped with a properly trapped overflow pipe that leads to a safe location outside the building or to a closed, vented salvage tank conforming to Subsection 5.13.4.",1.0
45827,A duct serving commercial cooking equipment and piercing a required fire separation need not be equipped with a fire damper at the fire separation.,A duct serving commercial cooking equipment and piercing a required fire separation need not be equipped with a fire damper at the fire separation.,1.0
47686,"The connection of a soil or waste pipe to a nominally horizontal soil or waste pipe or to a nominally horizontal offset in a soil or waste stack shall be respectively at least 1 500 mm measured horizontally from the bottom of a soil or waste stack or from the bottom of the upper vertical section of the soil or waste stack that,(a) receives a discharge of 30 or more fixture units, or (b) receives a discharge from fixtures located on 2 or more storeys.","The connection of a soil or waste pipe to a nominally horizontal soil or waste pipe or to a nominally horizontal offset in a soil or waste stack shall be respectively at least 1 500 mm measured horizontally from the bottom of a soil or waste stack or from the bottom of the upper vertical section of the soil or waste stack that,(a) receives a discharge of 30 or more fixture units, or (b) receives a discharge from fixtures located on 2 or more storeys.",1.0
49776,"Spans for joists, beams and lintels supporting floors shall be determined according to Subsection 4.1.3. where the supported floors,(a) serve other than residential areas, or (b) support a uniform live load in excess of that specified for residential areas.","Spans for joists, beams and lintels supporting floors shall be determined according to Subsection 4.1.3. where the supported floors,(a) serve other than residential areas, or (b) support a uniform live load in excess of that specified for residential areas.",1.0
49777,"Except as provided in Sentence (2), at least 90% of the exposed surfaces of every wall in an exit shall have a surface flame-spread rating of not more than 25.","Except as provided in Sentence (2), at least 90% of the exposed surfaces of every wall in an exit shall have a surface flame-spread rating of not more than 25.",1.0
51161,"Flammable liquids and combustible liquids shall be stored in closed containers in conformance with Article 4.6.2.4., or storage tanks in conformance with Section 4.3.","Flammable liquids and combustible liquids shall be stored in closed containers in conformance with Article 4.6.2.4., or storage tanks in conformance with Section 4.3.",1.0
49779,"The emergency power supply required by Sentence (1) shall be capable of providing, supervisory power for not less than 24 h, and immediately following, emergency power under full load for not less than, 2 h for a building within the scope of Subsection 3.2.6., 1 h for a building classified as Group B major occupancy that is not within the scope of Subsection 3.2.6., (ii.1) 1 h for a building that contains a Group C major occupancy retirement home and that is not within the scope of Subsection 3.2.6., 1 h for a building within the scope of Article 3.2.2.43A. or 3.2.2.50A., 5 min for a building not required to be equipped with an annunciator, and 30 min for any other building.","The emergency power supply required by Sentence (1) shall be capable of providing, supervisory power for not less than 24 h, and immediately following, emergency power under full load for not less than, 2 h for a building within the scope of Subsection 3.2.6., 1 h for a building classified as Group B major occupancy that is not within the scope of Subsection 3.2.6., (ii.1) 1 h for a building that contains a Group C major occupancy retirement home and that is not within the scope of Subsection 3.2.6., 1 h for a building within the scope of Article 3.2.2.43A. or 3.2.2.50A., 5 min for a building not required to be equipped with an annunciator, and 30 min for any other building.",1.0
46076,"Where the finished flooring consists of not less than 19 mm matched wood strip flooring laid at right angles to joists, spaced not more than 610 mm o.c., subflooring shall be permitted to consist of not less than,(a) 12.5 mm thick plywood, (b) 12.5 mm thick OSB conforming to O-2 grade, (c) 12.7 mm thick OSB conforming to O-1 grade, (d) 12.7 mm thick waferboard conforming to R-1 grade, or (e) OSB conforming to 2R32 / 2F16 grade.","Where the finished flooring consists of not less than 19 mm matched wood strip flooring laid at right angles to joists, spaced not more than 610 mm o.c., subflooring shall be permitted to consist of not less than,(a) 12.5 mm thick plywood, (b) 12.5 mm thick OSB conforming to O-2 grade, (c) 12.7 mm thick OSB conforming to O-1 grade, (d) 12.7 mm thick waferboard conforming to R-1 grade, or (e) OSB conforming to 2R32 / 2F16 grade.",1.0
45149,The requirements for smoke alarms in Article 3.2.4.22. shall apply to a dwelling unit.,The requirements for smoke alarms in Article 3.2.4.22. shall apply to a dwelling unit.,1.0
47458,"A backflow preventer shall not be required in a residential full flow through fire sprinkler system, in which the pipe and fittings are constructed of potable water system materials.","A backflow preventer shall not be required in a residential full flow through fire sprinkler system, in which the pipe and fittings are constructed of potable water system materials.",1.0
49781,"For guards within dwelling units and for exterior guards serving not more than 2 dwelling units, Table 9.8.8.2. need not apply where the guard construction has been demonstrated to provide effective performance.","For guards within dwelling units and for exterior guards serving not more than 2 dwelling units, Table 9.8.8.2. need not apply where the guard construction has been demonstrated to provide effective performance.",1.0
51483,This Part applies to the prevention or control of fire during any demolition and the protection from fire of neighbouring occupied spaces and neighbouring properties.,This Part applies to the prevention or control of fire during any demolition and the protection from fire of neighbouring occupied spaces and neighbouring properties.,1.0
47687,A high hazard industrial occupancy shall not contain a shelf and rack storage system.,A high hazard industrial occupancy shall not contain a shelf and rack storage system.,1.0
49782,"In other than residential occupancies, no fire separation is required between a public corridor and the remainder of the building if,(a) the floor area is sprinklered, (b) the sprinkler system is electrically supervised in conformance with Sentence 3.2.4.10.(3), (c) the operation of the sprinkler system will cause a signal to be transmitted to the fire department in conformance with Sentence 3.2.4.8.(4), and (d) the corridor exceeds 5 m in width.","In other than residential occupancies, no fire separation is required between a public corridor and the remainder of the building if,(a) the floor area is sprinklered, (b) the sprinkler system is electrically supervised in conformance with Sentence 3.2.4.10.(3), (c) the operation of the sprinkler system will cause a signal to be transmitted to the fire department in conformance with Sentence 3.2.4.8.(4), and (d) the corridor exceeds 5 m in width.",1.0
46609,"Except as provided in Sentence (3), a sign face shall not be located within 600 mm of the vehicular travelled portion of a private lane or roadway, or of a motor vehicle parking area, unless the minimum vertical distance between grade and the bottom of the overhanging sign face is at least 4.25 m.","Except as provided in Sentence (3), a sign face shall not be located within 600 mm of the vehicular travelled portion of a private lane or roadway, or of a motor vehicle parking area, unless the minimum vertical distance between grade and the bottom of the overhanging sign face is at least 4.25 m.",1.0
51482,The number of persons occupying a room or floor space in an assembly occupancy shall not exceed the occupant load for the intended use as determined in Sentence (2).,The number of persons occupying a room or floor space in an assembly occupancy shall not exceed the occupant load for the intended use as determined in Sentence (2).,1.0
49784,Machine stress rated lumber shall conform to the requirements of Subsection 4.3.1.,Machine stress rated lumber shall conform to the requirements of Subsection 4.3.1.,1.0
45148,"Where more than one urinal is provided in a washroom described in Sentence 3.8.2.3.(6), at least one urinal conforming to Sentences (1) to (3) shall be provided in the washroom.","Where more than one urinal is provided in a washroom described in Sentence 3.8.2.3.(6), at least one urinal conforming to Sentences (1) to (3) shall be provided in the washroom.",1.0
51481,Buildings for the shelter of personnel or pumps shall be considered a part of the loading or unloading facility.,Buildings for the shelter of personnel or pumps shall be considered a part of the loading or unloading facility.,1.0
45147,"Where an acid waste dilution tank is installed, it shall be provided with a vent pipe connected at the top of the tank and that is sized in accordance with Article 7.5.7.7.","Where an acid waste dilution tank is installed, it shall be provided with a vent pipe connected at the top of the tank and that is sized in accordance with Article 7.5.7.7.",1.0
47459,"Where a fire service main is supplied with water by more than one source, a check valve shall be installed at each connection with a source of water.","Where a fire service main is supplied with water by more than one source, a check valve shall be installed at each connection with a source of water.",1.0
47718,"In residential occupancies, the requirements of Sentence (1) are waived if a balcony conforming to Sentence (7) is provided for each suite, except for suites on the storey containing the barrier-free entrance described in Article 3.8.1.2.","In residential occupancies, the requirements of Sentence (1) are waived if a balcony conforming to Sentence (7) is provided for each suite, except for suites on the storey containing the barrier-free entrance described in Article 3.8.1.2.",1.0
45750,"For the design of the main structural system of the building, which is affected by wind pressures on more than one surface, the values of CpCg are provided in Figure 4.1.7.6.A.","For the design of the main structural system of the building, which is affected by wind pressures on more than one surface, the values of CpCg are provided in Figure 4.1.7.6.A.",1.0
47719,"Concrete block shall conform to CSA A165.1, ""Concrete Block Masonry Units"", and shall have a compressive strength over the average net cross-sectional area of the block of not less than 15 MPa.","Concrete block shall conform to CSA A165.1, ""Concrete Block Masonry Units"", and shall have a compressive strength over the average net cross-sectional area of the block of not less than 15 MPa.",1.0
46301,"Except as provided in Sentences (2) and (3), stud posts shall be designed in accordance with Part 4.","Except as provided in Sentences (2) and (3), stud posts shall be designed in accordance with Part 4.",1.0
46608,"Except as provided in Sentence (5), where existing interior walls or ceilings or floor assemblies or roof assemblies are substantially removed on any storey in an existing building and new interior walls, ceilings, floor assemblies or roof assemblies are installed, the storey shall be sprinklered if, (a) the storey will contain a Group C major occupancy, and (b) the building is over 3 storeys in building height.","Except as provided in Sentence (5), where existing interior walls or ceilings or floor assemblies or roof assemblies are substantially removed on any storey in an existing building and new interior walls, ceilings, floor assemblies or roof assemblies are installed, the storey shall be sprinklered if, (a) the storey will contain a Group C major occupancy, and (b) the building is over 3 storeys in building height.",1.0
44701,"Equipment forming part of a packaged system for solar heating of potable water, shall conform to CAN/CSA-F379.1, ""Packaged Solar Domestic Hot Water Systems (Liquid-to-Liquid Heat for All-Season Use"".","Equipment forming part of a packaged system for solar heating of potable water, shall conform to CAN/CSA-F379.1, ""Packaged Solar Domestic Hot Water Systems (Liquid-to-Liquid Heat for All-Season Use"".",1.0
46607,The requirements of Subsection 3.7.6. apply to all food premises.,The requirements of Subsection 3.7.6. apply to all food premises.,1.0
45751,"Except for hotels, a door opening onto a public corridor that provides access to exit from a suite shall be designed not to lock automatically. (See Appendix A.)","Except for hotels, a door opening onto a public corridor that provides access to exit from a suite shall be designed not to lock automatically. (See Appendix A.)",1.0
47716,"The requirements of Sentences 3.4.4.1.(1) and 3.2.3.13.(1) and (3) do not apply to an exterior exit passageway provided, not less than 50% of the exterior side is open to the outdoors, and an exit stair is provided at each end of the passageway.","The requirements of Sentences 3.4.4.1.(1) and 3.2.3.13.(1) and (3) do not apply to an exterior exit passageway provided, not less than 50% of the exterior side is open to the outdoors, and an exit stair is provided at each end of the passageway.",1.0
52301,A portable extinguisher with a minimum rating of 5B:C shall be located on the serving cart or table at locations referred to in Sentences (2) and (3).,A portable extinguisher with a minimum rating of 5B:C shall be located on the serving cart or table at locations referred to in Sentences (2) and (3).,1.0
44512,No frozen material or ice shall be used in concrete described in Sentence (1).,No frozen material or ice shall be used in concrete described in Sentence (1).,1.0
46606,Smoke detectors in Sentence (6) shall be designed as part of the building fire alarm system.,Smoke detectors in Sentence (6) shall be designed as part of the building fire alarm system.,1.0
51047,"Despite Articles 1.2.1.1. and 1.2.1.2., the Chief Fire Official may permit compliance with an edition of a document previous to that referred to in this Code if the Chief Fire Official is satisfied that compliance with the edition referred to in this Code is impractical.","Despite Articles 1.2.1.1. and 1.2.1.2., the Chief Fire Official may permit compliance with an edition of a document previous to that referred to in this Code if the Chief Fire Official is satisfied that compliance with the edition referred to in this Code is impractical.",1.0
47469,"For residential occupancies, the total daily design sanitary sewage flow shall be at least the value in Column 2 as determined from Table 8.2.1.3.A. (See Appendix A.)","For residential occupancies, the total daily design sanitary sewage flow shall be at least the value in Column 2 as determined from Table 8.2.1.3.A. (See Appendix A.)",1.0
47467,"Smoke detectors permitted to be installed in lieu of smoke alarms as provided in Sentence (3) are permitted to sound localized alarms within individual suites, and need not sound an alarm throughout the rest of the building.","Smoke detectors permitted to be installed in lieu of smoke alarms as provided in Sentence (3) are permitted to sound localized alarms within individual suites, and need not sound an alarm throughout the rest of the building.",1.0
47688,"Where existing interior walls or ceilings or floor assemblies or roof assemblies are substantially removed in an existing building and new interior walls, ceilings, floor assemblies or roof assemblies are installed in the building, structural and fire-resistance elements shall be constructed in compliance with the requirements of the other Parts.","Where existing interior walls or ceilings or floor assemblies or roof assemblies are substantially removed in an existing building and new interior walls, ceilings, floor assemblies or roof assemblies are installed in the building, structural and fire-resistance elements shall be constructed in compliance with the requirements of the other Parts.",1.0
46605,"Except as permitted in Sentence (2), a backwater valve that would prevent free circulation of air shall not be installed in a building drain or in a building sewer.","Except as permitted in Sentence (2), a backwater valve that would prevent free circulation of air shall not be installed in a building drain or in a building sewer.",1.0
49788,"Except within a suite of residential occupancy, if showers are provided in a building, the number of barrier-free showers shall conform to Table 3.8.3.13. (See Appendix A.)","Except within a suite of residential occupancy, if showers are provided in a building, the number of barrier-free showers shall conform to Table 3.8.3.13. (See Appendix A.)",1.0
45146,"Separate fire compartments required by Sentence (5) need not be provided, if the area intended for the storage of cylinders containing compressed gases that are lighter than air is separated by a concrete or masonry wall having a height of at least 2.0 m and projecting at least 1.0 m, measured horizontally, beyond the cylinders.","Separate fire compartments required by Sentence (5) need not be provided, if the area intended for the storage of cylinders containing compressed gases that are lighter than air is separated by a concrete or masonry wall having a height of at least 2.0 m and projecting at least 1.0 m, measured horizontally, beyond the cylinders.",1.0
47714,The minimum total ventilation capacity of the ventilation system required in Clause 9.32.3.2.(1)(b) shall be the sum of the individual room capacities given in Table 9.32.3.3.,The minimum total ventilation capacity of the ventilation system required in Clause 9.32.3.2.(1)(b) shall be the sum of the individual room capacities given in Table 9.32.3.3.,1.0
50701,"If a leak is detected in a piping system during the leakage test, the piping system shall be repaired or replaced and the escaped liquid shall be removed in conformance with Subsection 4.1.6.","If a leak is detected in a piping system during the leakage test, the piping system shall be repaired or replaced and the escaped liquid shall be removed in conformance with Subsection 4.1.6.",1.0
49789,"Where unit masonry columns are used, the height of such columns shall not exceed,(a) in the case of hollow masonry units, 4 times the least dimension of the units, (b) in the case of solid masonry units or hollow units with voids filled with concrete, 10 times the least dimension of the column, or (c) where the column is reinforced with at least four 13 mm diam bars and filled with concrete, 18 times the least dimension of the column.","Where unit masonry columns are used, the height of such columns shall not exceed,(a) in the case of hollow masonry units, 4 times the least dimension of the units, (b) in the case of solid masonry units or hollow units with voids filled with concrete, 10 times the least dimension of the column, or (c) where the column is reinforced with at least four 13 mm diam bars and filled with concrete, 18 times the least dimension of the column.",1.0
45145,"PE/AL/PE pipe with a pressure rating of 690 kPa or greater at 82ºC shall be used with fittings that conform to CSA B137.10, ""Crosslinked Polyethylene/Aluminum/Crosslinked Polyethylene (PEX-AL-PEX) Composite Pressure-Pipe Systems"", in a hot water system.","PE/AL/PE pipe with a pressure rating of 690 kPa or greater at 82ºC shall be used with fittings that conform to CSA B137.10, ""Crosslinked Polyethylene/Aluminum/Crosslinked Polyethylene (PEX-AL-PEX) Composite Pressure-Pipe Systems"", in a hot water system.",1.0
49791,"The ASTC ratings of separating assemblies and adjoining construction shall be,(a) determined in accordance ASTM E413, ""Classification for Rating Sound Insulation"", using the results from measurements carried out in accordance with ASTM E336, ""Measurement of Airborne Sound Attenuation Between Rooms in Buildings"", or (b) calculated in accordance with, (i) the detailed method described in Article 5.8.1.4., or (ii) the simplified method described in Article 5.8.1.5.","The ASTC ratings of separating assemblies and adjoining construction shall be,(a) determined in accordance ASTM E413, ""Classification for Rating Sound Insulation"", using the results from measurements carried out in accordance with ASTM E336, ""Measurement of Airborne Sound Attenuation Between Rooms in Buildings"", or (b) calculated in accordance with, (i) the detailed method described in Article 5.8.1.4., or (ii) the simplified method described in Article 5.8.1.5.",1.0
51477,"Dip tanks and drain boards shall be constructed of noncombustible material with steel, reinforced concrete or masonry supports.","Dip tanks and drain boards shall be constructed of noncombustible material with steel, reinforced concrete or masonry supports.",1.0
47713,"Stucco lath or reinforcing shall be used to attach stucco to masonry where,(a) the masonry is soft-burned tile or brick of less strength than the stucco, or (b) the masonry surface is not sound, clean and sufficiently rough to provide a good key.","Stucco lath or reinforcing shall be used to attach stucco to masonry where,(a) the masonry is soft-burned tile or brick of less strength than the stucco, or (b) the masonry surface is not sound, clean and sufficiently rough to provide a good key.",1.0
49792,"Underground ducts shall,(a) be constructed and installed with a slope to provide interior drainage to all low points, (b) not be connected directly to a sewer, and (c) be installed and constructed of materials in conformance with ASHRAE Handbooks, SMACNA Manuals and the HRAI Digest.","Underground ducts shall,(a) be constructed and installed with a slope to provide interior drainage to all low points, (b) not be connected directly to a sewer, and (c) be installed and constructed of materials in conformance with ASHRAE Handbooks, SMACNA Manuals and the HRAI Digest.",1.0
52306,"The portable extinguishers shall provide at least one numerical unit of extinguishing potential for Class B fires per 0.1 m2 of surface area of the largest open container within the area, but in no case shall the extinguisher rating be less than that required by Table 6.2.6.B.","The portable extinguishers shall provide at least one numerical unit of extinguishing potential for Class B fires per 0.1 m2 of surface area of the largest open container within the area, but in no case shall the extinguisher rating be less than that required by Table 6.2.6.B.",1.0
47689,"When odour removal equipment of the adsorption type is used it shall be, (a) installed to provide access so that adsorption material can be reactivated or renewed, and (b) protected from dust accumulation by air filters installed on the inlet side.","When odour removal equipment of the adsorption type is used it shall be, (a) installed to provide access so that adsorption material can be reactivated or renewed, and (b) protected from dust accumulation by air filters installed on the inlet side.",1.0
45756,Intake openings shall be located so as to avoid contamination of the ventilation air from other local sources such as automobile exhausts and exhaust from adjacent buildings.,Intake openings shall be located so as to avoid contamination of the ventilation air from other local sources such as automobile exhausts and exhaust from adjacent buildings.,1.0
51042,A clearance of at least 600 mm shall be maintained between piles of tires and columns and enclosing walls.,A clearance of at least 600 mm shall be maintained between piles of tires and columns and enclosing walls.,1.0
47711,"Bleachers shall be checked by the erector after erection to ensure that all structural members, including bracing specified in the design, have been installed.","Bleachers shall be checked by the erector after erection to ensure that all structural members, including bracing specified in the design, have been installed.",1.0
47712,"Horizontal and vertical strip steel siding, including flashing and trim accessories, shall conform to CAN/CGSB-93.4, ""Galvanized Steel and Aluminum-Zinc Alloy Coated Steel Siding, Soffits and Fascia, Prefinished, Residential"".","Horizontal and vertical strip steel siding, including flashing and trim accessories, shall conform to CAN/CGSB-93.4, ""Galvanized Steel and Aluminum-Zinc Alloy Coated Steel Siding, Soffits and Fascia, Prefinished, Residential"".",1.0
45752,"Except as permitted in Sentence (2), rooms or spaces in a residential occupancy shall be ventilated by natural means in accordance with Subsection 9.32.2.","Except as permitted in Sentence (2), rooms or spaces in a residential occupancy shall be ventilated by natural means in accordance with Subsection 9.32.2.",1.0
47462,"Where the building has been in existence for less than five years, compliance alternatives may only be used in respect of requirements of this Division that are referenced in Sentences 10.3.2.2.(3), (5) and Table 10.3.2.2.B.","Where the building has been in existence for less than five years, compliance alternatives may only be used in respect of requirements of this Division that are referenced in Sentences 10.3.2.2.(3), (5) and Table 10.3.2.2.B.",1.0
45753,"A tactile attention indicator conforming to Article 3.8.3.18. shall be installed along any edge of a platform that is, not protected by a guard, and higher than 250 mm above the finished floor or ground or sloped steeper than 1 in 3.","A tactile attention indicator conforming to Article 3.8.3.18. shall be installed along any edge of a platform that is, not protected by a guard, and higher than 250 mm above the finished floor or ground or sloped steeper than 1 in 3.",1.0
47708,"Except as permitted by Sentences (6) and (7), each level of mezzanine that is partly or wholly superimposed above the first level of mezzanine shall be considered as a storey in calculating the building height.","Except as permitted by Sentences (6) and (7), each level of mezzanine that is partly or wholly superimposed above the first level of mezzanine shall be considered as a storey in calculating the building height.",1.0
52426,"All areas where automobile undercoating is used shall be kept clean of undercoating deposits and refuse, which shall be placed in covered metal receptacles.","All areas where automobile undercoating is used shall be kept clean of undercoating deposits and refuse, which shall be placed in covered metal receptacles.",1.0
50700,"Bonding, grounding and isolation components for protection against static charges during the loading of tank vehicles or tank cars shall be provided when transferring flammable liquids or combustible liquids.","Bonding, grounding and isolation components for protection against static charges during the loading of tank vehicles or tank cars shall be provided when transferring flammable liquids or combustible liquids.",1.0
46602,"The fire-resistance rating of the fire separations referred to in Clause (1)(b) is permitted to be less than 1 h but not less than 45 min provided the fire-resistance rating required by Subsection 3.2.2. is permitted to be less than 1 h for, the floor assembly above the floor area, or the floor assembly below the floor area, if there is no floor assembly above.","The fire-resistance rating of the fire separations referred to in Clause (1)(b) is permitted to be less than 1 h but not less than 45 min provided the fire-resistance rating required by Subsection 3.2.2. is permitted to be less than 1 h for, the floor assembly above the floor area, or the floor assembly below the floor area, if there is no floor assembly above.",1.0
52305,Dust-collecting systems shall be made of noncombustible material.,Dust-collecting systems shall be made of noncombustible material.,1.0
47694,"Where staples with an 11 mm crown are used, shingles shall be fastened with at least six staples.","Where staples with an 11 mm crown are used, shingles shall be fastened with at least six staples.",1.0
47695,"Where glass reinforced polyester roofing panels are not supported by roof decking but span between spaced supports, the panels shall be designed to support the specified roof loads.","Where glass reinforced polyester roofing panels are not supported by roof decking but span between spaced supports, the panels shall be designed to support the specified roof loads.",1.0
47466,"Sheet and panel-type materials described in Article 9.25.5.1. shall be installed,(a) on the warm face of the assembly, (b) at a location where the ratio between the total thermal resistance of all materials outboard of its innermost impermeable surface and the total thermal resistance of all materials inboard of that surface is not less than that required by Table 9.25.5.2., or (c) outboard of an air space that is vented to the outdoors.","Sheet and panel-type materials described in Article 9.25.5.1. shall be installed,(a) on the warm face of the assembly, (b) at a location where the ratio between the total thermal resistance of all materials outboard of its innermost impermeable surface and the total thermal resistance of all materials inboard of that surface is not less than that required by Table 9.25.5.2., or (c) outboard of an air space that is vented to the outdoors.",1.0
52917,"When it is not practical to undertake hot work operations in areas described in Sentence (1), combustible and flammable materials shall either be kept at least 11 m from the work area or otherwise protected against ignition by sheet metal, asbestos blankets or other noncombustible material.","When it is not practical to undertake hot work operations in areas described in Sentence (1), combustible and flammable materials shall either be kept at least 11 m from the work area or otherwise protected against ignition by sheet metal, asbestos blankets or other noncombustible material.",1.0
47705,Seating arrangements that do not conform to the requirements of Sentences (3) to (5) are permitted provided the standard of safety is not reduced and the time required for egress is not increased.,Seating arrangements that do not conform to the requirements of Sentences (3) to (5) are permitted provided the standard of safety is not reduced and the time required for egress is not increased.,1.0
45829,"Electrical conductors for the operation of the elevator referred to in Sentence (1) shall be, installed in service spaces conforming to Section 3.6. that do not contain other combustible material, or protected against exposure to fire from the service entrance of the emergency power supply, or the normal service entrance of the normal power supply, to the equipment served, to ensure operation for a period of 1 h when subjected to the standard fire exposure described in CAN/ULC-S101, ""Fire Endurance Tests of Building Construction and Materials"".","Electrical conductors for the operation of the elevator referred to in Sentence (1) shall be, installed in service spaces conforming to Section 3.6. that do not contain other combustible material, or protected against exposure to fire from the service entrance of the emergency power supply, or the normal service entrance of the normal power supply, to the equipment served, to ensure operation for a period of 1 h when subjected to the standard fire exposure described in CAN/ULC-S101, ""Fire Endurance Tests of Building Construction and Materials"".",1.0
51043,The area underneath any storage tank greater than 1.2 m in diameter shall be protected by an automatic special fire suppression system conforming to an applicable standard set out in Article 6.8.1.1.,The area underneath any storage tank greater than 1.2 m in diameter shall be protected by an automatic special fire suppression system conforming to an applicable standard set out in Article 6.8.1.1.,1.0
47703,A standpipe system shall be installed in every basement of a building that is regulated by Sentence 3.2.2.15.(2).,A standpipe system shall be installed in every basement of a building that is regulated by Sentence 3.2.2.15.(2).,1.0
47704,"Unless provided with a fire stop in accordance with CAN/ULC-S115, ""Fire Tests of Firestop Systems"", electrical outlet boxes on opposite sides of a vertical fire separation required to have a fire-resistance rating shall be, separated by a horizontal distance of not less than 600 mm, or installed in adjacent stud cavities.","Unless provided with a fire stop in accordance with CAN/ULC-S115, ""Fire Tests of Firestop Systems"", electrical outlet boxes on opposite sides of a vertical fire separation required to have a fire-resistance rating shall be, separated by a horizontal distance of not less than 600 mm, or installed in adjacent stud cavities.",1.0
45754,The portion of a deep foundation unit permanently in contact with soil or rock shall be structurally designed as a laterally supported compression member.,The portion of a deep foundation unit permanently in contact with soil or rock shall be structurally designed as a laterally supported compression member.,1.0
51476,Signs prohibiting smoking that meet the requirements of Article 2.4.3.2. shall be conspicuously posted in all powder-coating areas and powder storage rooms.,Signs prohibiting smoking that meet the requirements of Article 2.4.3.2. shall be conspicuously posted in all powder-coating areas and powder storage rooms.,1.0
44703,"Except as provided in this Subsection, water closets shall be provided for each sex assuming that the occupant load is equally divided between males and females, unless the proportion of each sex expected in the building can be determined with reasonable accuracy.","Except as provided in this Subsection, water closets shall be provided for each sex assuming that the occupant load is equally divided between males and females, unless the proportion of each sex expected in the building can be determined with reasonable accuracy.",1.0
50699,Corrective action shall be taken immediately if the observed water level or air pressure is outside the designed operating range for the tank.,Corrective action shall be taken immediately if the observed water level or air pressure is outside the designed operating range for the tank.,1.0
44777,"Fluxes for soldered joints shall conform to ASTM B813, ""Liquid and Paste Fluxes for Soldering of Copper and Copper Alloy Tube"".","Fluxes for soldered joints shall conform to ASTM B813, ""Liquid and Paste Fluxes for Soldering of Copper and Copper Alloy Tube"".",1.0
47702,"Sentence (7) does not apply to doors at the entrances to dwelling units, or where greater forces are required in order to close and latch the doors against prevailing differences in air pressures on opposite sides of the doors. (See Appendix A.)","Sentence (7) does not apply to doors at the entrances to dwelling units, or where greater forces are required in order to close and latch the doors against prevailing differences in air pressures on opposite sides of the doors. (See Appendix A.)",1.0
