Full Index,National Full,National in BC,Similarity
12,"Interior and exterior walking surfaces that are within a barrier-free path of travel shall have no opening that will permit the passage of a sphere more than 13 mm in diameter, have any elongated openings oriented approximately perpendicular to the direction of travel, be stable, firm and slip-resistant, have a cross slope no steeper than 1 in 50, be beveled at a maximum slope of 1 in 2 at changes in level between 6 mm and13 mm, and be provided with sloped floors or ramps at changes in level more than 13 mm. (See Note A-3.8.3.2.(2).)","Interior and exterior walking surfaces that are within a barrier-free path of travel shall have no opening that will permit the passage of a sphere more than 13 mm in diameter, have any elongated openings oriented approximately perpendicular to the direction of travel, be stable, firm and slip-resistant, have a cross slope no steeper than 1 in 50, be beveled at a maximum slope of 1 in 2 at changes in level between 6 mm and 13 mm, and be provided with sloped floors or ramps at changes in level more than 13 mm.",0.9583333333333334
2004,"Except as provided in Sentence 9.5.5.1.(2) and Articles 9.5.5.3., 9.9.6.2. and 9.9.6.3., doorway openings within dwelling units and within houses with a secondary suite including their common spaces shall be designed to accommodate at least the door sizes given in Table 9.5.5.1. for swing-type and folding doors.","Except as provided in Sentence 9.5.5.1.(2) and Articles 9.5.5.3. , 9.9.6.2. and 9.9.6.3., doorway openings within dwelling units and within houses with a secondary suite including their common spaces shall be designed to accommodate at least the door sizes given in Table 9.5.5.1. for swing-type and folding doors.",0.9583333333333334
6944,"Where Article 3.2.9.1. of Division B of the NFC applies due to the quantity and nature of the stored product, and as stipulated in Sentences 3.3.6.6.(2)to 3.3.6.6.(6), buildings used for the storage of ammonium nitrate shall be classified as medium-hazard industrial occupancies (Group F, Division 2).","Where Article 3.2.9.1. of Division B of the NFC applies due to the quantity and nature of the stored product, and as stipulated in Sentences 3.3.6.6.(2) to 3.3.6.6.(6), buildings used for the storage of ammonium nitrate shall be classified as medium-hazard industrial occupancies (Group F, Division 2).",0.9574468085106383
4703,"The airtightness value used in the energy model calculations for the proposed house shall be 3.2 air changes per hour at 50 Pa pressure differential, where the construction complies with Section 9.25., 2.5 air changes per hour at 50 Pa pressure differential, where it can be shown that the air barrier system is constructed in accordance with Subsection 9.25.3. and Articles 9.36.2.9.and 9.36.2.10., or where airtightness is tested in accordance with Sentence 9.36.5.10.(11), the number of air changes per hour at 50 Pa pressure differential, and the equivalent leakage area (see Note A-9.36.5.10.(9)(c)(ii)).","The airtightness value used in the energy model calculations for the proposed house shall be 3.2 air changes per hour at 50 Pa pressure differential, where the construction complies with Section 9.25., 2.5 air changes per hour at 50 Pa pressure differential, where it can be shown that the air barrier system is constructed in accordance with part 9. and Articles 9.36.2.9. and 9.36.2.10., or where airtightness is tested in accordance with Sentence 9.36.5.10.(11), the number of air changes per hour at 50 Pa pressure differential, and the equivalent leakage area (see Note A-9.36.5.10.(9)(c)(ii)).",0.9574468085106383
11690,"Where a building or part of building is designed for the storage of flammable liquids or combustible liquids, there is no limit on the total quantity of storage per fire compartment provided the building or part of building is separated from adjacent buildings or parts of buildings by a firewall having a fire-resistance rating of at least 4 h, or spatial separation in conformance with the NBC. (See Note A-4.2.7.5.(2).)","Where a building or part of building is designed for the storage of flammable liquids or combustible liquids, there is no limit on the total quantity of storage per fire compartment provided the building or part of building is separated from adjacent buildings or parts of buildings by a firewall having a fire-resistance rating of at least 4 h, or spatial separation in conformance with the NBC.",0.9571428571428572
7693,All gypsum board joints in the assemblies described in Sentences 9.10.9.2.(1)and 9.9.9.3.(2) shall conform to CSA A82.31-M1980 Gypsum Board Application and penetrations in these assemblies shall be sealed using flexible sealant or tape to maintain the integrity of the smoke-tight barrier over the entire surface.,All gypsum board joints in the assemblies described in Sentences 9.10.9.2.(1) and 9.9.9.3.(2) shall conform to CSA A82.31-M1980 Gypsum Board Application and penetrations in these assemblies shall be sealed using flexible sealant or tape to maintain the integrity of the smoke-tight barrier over the entire surface.,0.9565217391304348
14068,"Except as provided in Sentence 2.4.10.4.(2), the hydraulic load in litres from a roof or paved surface is the maximum 15 min rainfall determined in conformance with Subsection 1.1.3. of Division B of the NBC, multiplied by the sum of (See Note A-2.4.10.4.(1).)) the area in square metres of the horizontal projection of the surface drained, and one-half the area in square metres of the largest adjoining vertical surface.","Except as provided in Sentence 2.4.10.4.(2), the hydraulic load in litres from a roof or paved surface is the maximum 15 min rainfall determined in conformance with Subsection 1.1.3. of Division B of the NBC, multiplied by the sum of the area in square metres of the horizontal projection of the surface drained, and one-half the area in square metres of the largest adjoining vertical surface.",0.9565217391304348
3835,"The rough-in referred to in Clause 9.13.4.3.(1)(a) shall include a gas-permeable layer installed in the space between the air barrier and the ground to allow the depressurization of that space, an inlet that allows for the effective depressurization of the gas-permeable layer (see Note A-9.13.4.3.(2)(b) and (3)(b)(i)), and an outlet in the conditioned space that permits connection to depressurization equipment, is sealed to maintain the integrity of the air barrier system, and is clearly labeled to indicate that it is intended only for the removal of radon from below the floor-on-ground.","The rough-in referred to in Sentence 9.13.4.3.(1) shall include a gas-permeable layer installed in the space between the air barrier and the ground to allow the depressurization of that space, an inlet that allows for the effective depressurization of the gas-permeable layer (see Note A-9.13.4.3.(2)(b)), and an outlet in the conditioned space that permits connection to depressurization equipment, is sealed to maintain the integrity of the air barrier system, and is clearly labeled to indicate that it is intended only for the removal of radon from below the floor-on-ground.",0.9560439560439561
2951,"Every exit sign shall be visible on approach to the exit, consist of a green and white or lightly tinted graphical symbol meeting the colour specifications referred to in ISO 3864-1:2011 Graphical symbols – Safety colours and safety signs – Part 1: Design principles for safety signs and safety markings and conform to ISO 7010:2011 Graphical symbols – Safety colours and safety signs – Registered safety signs for the following symbols (see Note A-3.4.5.1.(2)(c)): E001 emergency exit left, E002 emergency exit right, E005 90-degree directional arrow, and E006 45-degree directional arrow.","Every exit sign shall be visible on approach to the exit, consist of a green and white or lightly tinted graphical symbol meeting the colour specifications referred to in ISO 3864-1:2011 Graphical symbols Safety colours and safety signs Part 1: Design principles for safety signs and safety markings and conform to ISO 7010:2011 Graphical symbols Safety colours and safety signs Registered safety signs for the following symbols (see Note A-3.4.5.1.(2)(c)): E001 emergency exit left, E002 emergency exit right, E005 90-degree directional arrow, and E006 45-degree directional arrow.",0.9560439560439561
5199,"Except as provided in Sentence 5.9.3.5.(4), other fenestration assemblies and their components not covered in Article 5.9.2.2. shall resist water penetration when tested in accordance with ASTM E 331-00 Water Penetration of Exterior Windows, Skylights, Doors, and Curtain Walls by Uniform Static Air Pressure Difference or ASTM E 547-00 Water Penetration of Exterior Windows, Skylights, Doors, and Curtain Walls by Cyclic Static Air Pressure Difference (See Note A-5.9.3.5.(2).)","Except as provided in Sentence 5.9.3.5.(4), other fenestration assemblies and their components not covered in Article 5.9.2.2. shall resist water penetration when tested in accordance with ASTM E 331-00 Water Penetration of Exterior Windows, Skylights, Doors, and Curtain Walls by Uniform Static Air Pressure Difference or ASTM E 547-00 Water Penetration of Exterior Windows, Skylights, Doors, and Curtain Walls by Cyclic Static Air Pressure Difference",0.9558823529411765
987,"Windows need not be protected in accordance with Sentence 9.8.8.1.(4), where the window serves a dwelling unit that is not located above another suite, the window serves a house with a secondary suite, the only opening greater than 100 mm by 380 mm is a horizontal opening at the top of the window, the window sill is located more than 450 mm above the finished floor on one side of the window, or the window is located in a room or space with the finished floor described in Clause 9.8.8.1.(5)(d) located less than 1 800 mm above the floor or ground on the other side of the window. (See Note A-9.8.8.1.(4).)","Windows need not be protected in accordance with Sentence 9.8.8.1.(4), where the window serves a dwelling unit that is not located above another suite, the window serves a house with a secondary suite, the only opening greater than 100 mm by 380 mm is a horizontal opening at the top of the window, the window sill is located more than 450 mm above the finished floor on one side of the window, or the window is located in a room or space with the finished floor described in Sentence 9.8.8.1.(5) located less than 1 800 mm above the floor or ground on the other side of the window.",0.954954954954955
6364,"The rough-in referred to in Clause 9.13.4.3.(1)(b) shall include clean granular material installed below the floor-on-ground in accordance with Sentence 9.16.2.1.(1), and a pipe not less than 100 mm in diameter installed through the floor, such that its bottom end opens into the granular layer required Clause 9.13.4.3.(3)(a) at or near the centre of the floor and not less than 100 mm of granular material projects beyond the terminus of the pipe measured along its axis (see Note A-9.13.4.3.(2)(b) and (3)(b)(i)), its top end permits connection to depressurization equipment and is provided with an airtight cap, and the pipe is clearly labeled near the cap and, if applicable, every 1.8 m and at every change in direction to indicate that it is intended only for the removal of radon from below the floor-on-ground.","The rough-in referred to in Sentence 9.13.4.3.(1) shall include clean granular material installed below the floor-on-ground in accordance with Sentence 9.16.2.1.(1), and a pipe not less than 100 mm in diameter installed through the floor, such that its bottom end opens into the granular layer required Sentence 9.13.4.3.(3) at or near the centre of the floor and not less than 100 mm of granular material projects beyond the terminus of the pipe measured along its axis (see Note A-9.13.4.3.(2)(b)), its top end permits connection to depressurization equipment and is provided with an airtight cap, and the pipe is clearly labeled near the cap and, if applicable, every 1.8 m and at every change in direction to indicate that it is intended only for the removal of radon from below the floor-on-ground.",0.9548872180451128
5424,"Power door operators required by Sentence 3.8.2.7.(1) shall activate automatically or through the use of controls that are located in a barrier-free path of travel, are marked with the International Symbol of Access, are located clear of the door swing and no more than 1 500 mm from that door swing, comply with subclause 3.8.3.8.(1)(a)(ii), are operable from a height between 150 mm and 300 mm as well as between 900 mm and 1 100 mm above the floor, and are operable by touching or approaching any part of their surface with a fist, arm or foot, and unless equipped with safety sensors, fully open the door in not less than 3 s, and require a force not more than 65 N to stop movement of the door. (See Note A-3.8.3.6.(6) and (7).)","Power door operators required by Sentence 3.8.2.7.(1) shall activate automatically or through the use of controls that are located in a barrier-free path of travel, are marked with the International Symbol of Access, are located clear of the door swing and no more than 1 500 mm from that door swing, comply with Sentence 3.8.3.8.(1), are operable from a height between 150 mm and 300 mm as well as between 900 mm and 1 100 mm above the floor, and are operable by touching or approaching any part of their surface with a fist, arm or foot, and unless equipped with safety sensors, fully open the door in not less than 3 s, and require a force not more than 65 N to stop movement of the door.",0.9548872180451128
8234,"Every floor area above or below the first storey that is not sprinklered throughout and that has a barrier-free path of travel shall be served by an elevator conforming to Sentences 3.2.6.5.(4)to 3.2.6.5.(6), protected against fire in conformance with Clauses 3.2.6.5.(3)(b)or 3.2.6.5.(3)(c), and in a building over 3 storeys in building height, protected against smoke movement so that the hoistway will not contain more than 1% by volume of contaminated air from a fire floor during a period of 2 h after the start of a fire, assuming an outdoor temperature equal to the January design temperature on a 2.5% basis determined in conformance with Subsection 1.1.3., be divided into at least 2 zones by fire separations conforming to Sentences 3.3.1.7.(2), 3.3.1.7.(3)and 3.1.8.5.(6) so that (see Note A-3.3.1.7.(1)(b)) persons with physical disabilities can be accommodated in each zone, and the travel distance from any point in one zone to a doorway leading to another zone shall be not more than the value for travel distance permitted by Sentence 3.4.2.5.(1) for the occupancy classification of the zone, in the case of residential occupancies, be provided with balconies conforming to Sentence 3.3.1.7.(4), except on the storey containing the barrier-free entrance required by Article 3.8.2.2., have an exterior exit at ground level, or have a ramp leading to ground level. (See Note A-3.3.1.7.(1).)","Every floor area above or below the first storey that is not sprinklered throughout and that has a barrier-free path of travel shall be served by an elevator conforming to Sentences 3.2.6.5.(4) to 3.2.6.5.(6), protected against fire in conformance with Clauses 3.2.6.5.(3) or 3.2.6.5.(3), and in a building over 3 storeys in building height, protected against smoke movement so that the hoistway will not contain more than 1% by volume of contaminated air from a fire floor during a period of 2 h after the start of a fire, assuming an outdoor temperature equal to the January design temperature on a 2.5% basis determined in conformance with part 1., be divided into at least 2 zones by fire separations conforming to Sentences 3.3.1.7.(2) , 3.3.1.7.(3) and 3.1.8.5.(6) so that (see Note A-3.3.1.7.(1)(b)) persons with physical disabilities can be accommodated in each zone, and the travel distance from any point in one zone to a doorway leading to another zone shall be not more than the value for travel distance permitted by Sentence 3.4.2.5.(1) for the occupancy classification of the zone, in the case of residential occupancies, be provided with balconies conforming to Sentence 3.3.1.7.(4), except on the storey containing the barrier-free entrance required by Article 3.8.2.2., have an exterior exit at ground level, or have a ramp leading to ground level.",0.9547511312217195
6973,"Where a passenger elevator serves one or more indoor parking levels, a barrier-free path of travel shall be provided between at least one parking level and all other parts of the building required to be provided with barrier-free access in accordance with Subsection 3.8.3.","Where a passenger elevator serves one or more indoor parking levels, a barrier-free path of travel shall be provided between at least one parking level and all other parts of the building required to be provided with barrier-free access in accordance with part 3.",0.9545454545454546
3076,"Materials, design, construction and installation of windows, doors and skylights that separate conditioned space from unconditioned space or the exterior but that are not covered in the scope of CSA AAMA/WDMA/CSA 101/I.S.2/A440-11 NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights shall conform to the remainder of this Subsection or Subsection 9.7.4., and the applicable requirements in Subsection 9.7.6., or to Part 5.","Materials, design, construction and installation of windows, doors and skylights that separate conditioned space from unconditioned space or the exterior but that are not covered in the scope of CSA AAMA/WDMA/CSA 101/I.S.2/A440-11 NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights shall conform to the remainder of this Subsection or part 9., and the applicable requirements in part 9., or to Part 5.",0.9538461538461539
12413,"The procedure for conducting fire drills shall be determined by the person in responsible charge of the building, taking into consideration the buildingoccupancy and its fire hazards, the safety features provided in the building, the desirable degree of participation of occupants other than supervisory staff, the number and degree of experience of participating supervisory staff, the features of fire emergency systems installed in buildings within the scope of Subsection 3.2.6. of Division B of the NBC, and the requirements of the fire department. (See Note A-2.8.3.1.(1).)","The procedure for conducting fire drills shall be determined by the person in responsible charge of the building, taking into consideration the building occupancy and its fire hazards, the safety features provided in the building, the desirable degree of participation of occupants other than supervisory staff, the number and degree of experience of participating supervisory staff, the features of fire emergency systems installed in buildings within the scope of Subsection 3.2.6. of Division B of the NBC, and the requirements of the fire department.",0.9534883720930233
4326,"Windows, doors and skylights shall conform to the requirements in CSA AAMA/WDMA/CSA 101/I.S.2/A440-11 NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights and CSA A440S1-17 Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440-11, NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights","Windows, doors and skylights shall conform to the requirements in CSA AAMA/WDMA/CSA 101/I.S.2/A440-11 NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights and CSA A440S1-17 Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440-11, NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights",0.9534883720930233
12493,"Aisles in conformance with Sentences 2.7.1.2.(2)to 2.7.1.2.(4) shall be provided in every floor area that is not subdivided into rooms or suites served by corridors giving access to exits, and is required by the NBC to have more than one egress doorway.","Aisles in conformance with Sentences 2.7.1.2.(2) to 2.7.1.2.(4) shall be provided in every floor area that is not subdivided into rooms or suites served by corridors giving access to exits, and is required by the NBC to have more than one egress doorway.",0.9534883720930233
823,"The requirements of this Section apply to all buildings except detached houses, semi-detached houses, houses with a secondary suite, duplexes, triplexes, townhouses, row houses and boarding houses (see , Secondary Suite), buildings of Group F, Division 1 major occupancy, and buildings that are not intended to be occupied on a daily or full-time basis, including automatic telephone exchanges, pumphouses and substations. (See Note A-3.8.2.2.)","The requirements of this Section apply to all buildings except detached houses, semi-detached houses, houses with a secondary suite, duplexes, triplexes, townhouses, row houses and boarding houses (see Note A-1.4.1.2.(1), Secondary Suite), buildings of Group F, Division 1 major occupancy, and buildings that are not intended to be occupied on a daily or full-time basis, including automatic telephone exchanges, pumphouses and substations.",0.953125
5919,"Where the building has an essentially uniform distribution of paths for air leakage, including operable openings, but no large openings that would permit wind gusts to rapidly enter the building and the building is not in an exceptionally exposed location such as a hilltop, the maximum area of individual panes of glass for windows shall conform to Tables 9.6.1.3.-Ato 9.6.1.3.-C, where the building has a height from grade to the uppermost roof of 12 m or less, and is located in a built-up area, no less than 120 m away from the boundary between this area and open terrain, or Tables 9.6.1.3.-Dto 9.6.1.3.-F. (See Note A-9.6.1.3.(2).)","Where the building has an essentially uniform distribution of paths for air leakage, including operable openings, but no large openings that would permit wind gusts to rapidly enter the building and the building is not in an exceptionally exposed location such as a hilltop, the maximum area of individual panes of glass for windows shall conform to Tables 9.6.1.3.-A to 9.6.1.3.-C, where the building has a height from grade to the uppermost roof of 12 m or less, and is located in a built-up area, no less than 120 m away from the boundary between this area and open terrain, or Tables 9.6.1.3.-D to 9.6.1.3.-F.",0.9528301886792453
1839,"A universal washroom shall be served by a barrier-free path of travel, have a door complying with Article 3.8.3.6. that has a latch-operating mechanism located 900 mm to 1 000 mm above the floor that complies with Clause 3.8.3.8.(1)(b) and is capable of being locked from the inside, and released from the outside in case of emergency, and if it is an outward swinging door that is not self-closing, has a door pull not less than 140 mm long located on the inside so that its midpoint is not less than 200 mm and not more than 300 mm from the hinged side of the door and not less than 900 mm and not more than 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), have one lavatory conforming to Article 3.8.3.15., have one water closet conforming to Article 3.8.3.13. and Clause 3.8.3.11.(1)(d), with a clear floor space at least 900 mm wide that is parallel and adjacent to the open side of the water closet, have grab bars conforming to Clauses 3.8.3.11.(1)(e)and 3.8.3.11.(1)(f), have a coat hook conforming to Clause 3.8.3.11.(1)(g), have a toilet paper dispenser conforming to Clause 3.8.3.11.(1)(h), unless a counter is provided, have a shelf located not more than 1 200 mm above the floor, and be designed to permit a wheelchair to turn in an open space not less than 1 500 mm in diameter.","A universal washroom shall be served by a barrier-free path of travel, have a door complying with Article 3.8.3.6. that has a latch-operating mechanism located 900 mm to 1 000 mm above the floor that complies with Sentence 3.8.3.8.(1) and is capable of being locked from the inside, and released from the outside in case of emergency, and if it is an outward swinging door that is not self-closing, has a door pull not less than 140 mm long located on the inside so that its midpoint is not less than 200 mm and not more than 300 mm from the hinged side of the door and not less than 900 mm and not more than 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), have one lavatory conforming to Article 3.8.3.15., have one water closet conforming to Article 3.8.3.13. and Sentence 3.8.3.11.(1), with a clear floor space at least 900 mm wide that is parallel and adjacent to the open side of the water closet, have grab bars conforming to Clauses 3.8.3.11.(1) and 3.8.3.11.(1), have a coat hook conforming to Sentence 3.8.3.11.(1), have a toilet paper dispenser conforming to Sentence 3.8.3.11.(1), unless a counter is provided, have a shelf located not more than 1 200 mm above the floor, and be designed to permit a wheelchair to turn in an open space not less than 1 500 mm in diameter.",0.9523809523809523
4502,"The installation of electrical wiring and electrical equipment shall conform to the requirements of provincial or territorial regulations or municipal bylaws, or CSA C22.1-12 Canadian Electrical Code, Part I in the absence of the regulations or bylaws referred to in Clause 3.6.1.2.(1)(a).","The installation of electrical wiring and electrical equipment shall conform to the requirements of provincial or territorial regulations or municipal bylaws, or CSA C22.1-12 Canadian Electrical Code, Part I in the absence of the regulations or bylaws referred to in Sentence 3.6.1.2.(1).",0.9523809523809523
2384,"The principal ventilation system shall incorporate the following components: a principal ventilation fan complying with this Article, and except as permitted by Article 9.32.3.6., provision for the introduction of outdoor air to the dwelling unit, in conformance with Article 9.32.3.4.or 9.32.3.5.","The principal ventilation system shall incorporate the following components: a principal ventilation fan complying with this Article, and except as permitted by Article 9.32.3.6., provision for the introduction of outdoor air to the dwelling unit, in conformance with Article 9.32.3.4. or 9.32.3.5.",0.9523809523809523
6526,"Except as provided in Sentence 9.16.2.1.(2), not less than 100 mm of coarse clean granular material containing not more than 10% of material that will pass a 4 mm sieve shall be placed beneath floors-on-ground. (See also Subsection 9.13.4. and Note A-9.13.4.)","Except as provided in Sentence 9.16.2.1.(2), not less than 100 mm of coarse clean granular material containing not more than 10% of material that will pass a 4 mm sieve shall be placed beneath floors-on-ground. (See also part 9. and Note A-9.13.4.)",0.9523809523809523
4174,"Doors, frames and hardware that conform to a security level of at least Grade 10 as described in the Annex to ASTM F 476-14 Security of Swinging Door Assemblies are not required to conform to Sentences 9.7.5.2.(3)to 9.7.5.2.(7). (See Note A-9.7.5.2.(2).)","Doors, frames and hardware that conform to a security level of at least Grade 10 as described in the Annex to ASTM F 476-14 Security of Swinging Door Assemblies are not required to conform to Sentences 9.7.5.2.(3) to 9.7.5.2.(7). (See Note A-9.7.5.2.(2).)",0.9523809523809523
5596,"Except as permitted by Sentence 3.3.1.14.(2), Article 3.3.4.7. and Subsection 3.3.2., ramps and stairways that do not serve as exits shall conform to the requirements for exit ramps and stairways stated in Sentence 3.4.3.2.(8) and Articles 3.4.3.4., and 3.4.6.1.to 3.4.6.9.","Except as permitted by Sentence 3.3.1.14.(2), Article 3.3.4.7. and Subsection 3.3.2., ramps and stairways that do not serve as exits shall conform to the requirements for exit ramps and stairways stated in Sentence 3.4.3.2.(8) and Articles 3.4.3.4., and 3.4.6.1. to 3.4.6.9.",0.9512195121951219
3993,"Suites of residential occupancy are permitted to be equipped with smoke detectors in lieu of smoke alarms, provided the smoke detectors are capable of independently sounding audible signals within the individual suites, except as permitted in Sentence 3.2.4.20.(9), are installed in conformance with ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems and form part of the fire alarm system. (See Note A-3.2.4.20.(8).)","Suites of residential occupancy are permitted to be equipped with smoke detectors in lieu of smoke alarms, provided the smoke detectors are capable of independently sounding audible signals within the individual suites, except as permitted in Sentence 3.2.4.20.(9), are installed in conformance with ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems and form part of the fire alarm system.",0.9508196721311475
12776,"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 2.14.1.1. (See Note A-1.1.2.1.(1).)","For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 2.14.1.1. (See Note A-1.1.2.1.(1).)",0.95
1730,"Joints in all ventilation system ducting shall be sealed with mastic, metal foil duct tape or the manufacturers’ specified sealants.","Joints in all ventilation system ducting shall be sealed with mastic, metal foil duct tape or the manufacturers specified sealants.",0.95
1408,"Performance grades for windows, doors and skylights shall be selected according to the Canadian Supplement referenced in Clause 5.9.2.2.(1)(b) so as to be appropriate for the conditions and geographic location in which the window, door or skylight will be installed.","Performance grades for windows, doors and skylights shall be selected according to the Canadian Supplement referenced in Sentence 9.7.4.2.(1) so as to be appropriate for the conditions and geographic location in which the window, door or skylight will be installed.",0.95
1751,"The one-way voice communication system required by Sentence 3.2.4.23.(1) shall consist of loudspeakers that are operated from the central alarm and control facility or, in the absence of such a facility, from a designated area, and except in elevator cars, designed and located so that transmitted messages are audible and intelligible in all parts of the building. (See Note A-3.2.4.22.(1)(b).)","The one-way voice communication system required by Sentence 3.2.4.23.(1) shall consist of loudspeakers that are operated from the central alarm and control facility or, in the absence of such a facility, from a designated area, and except in elevator cars, designed and located so that transmitted messages are audible and intelligible in all parts of the building.",0.95
3318,"Performance grades for windows, doors and skylights shall be selected according to the Canadian Supplement referenced in Clause 9.7.4.2.(1)(b) so as to be appropriate for the conditions and geographic location in which the window, door or skylight will be installed.","Performance grades for windows, doors and skylights shall be selected according to the Canadian Supplement referenced in Sentence 5.9.2.2.(1) so as to be appropriate for the conditions and geographic location in which the window, door or skylight will be installed.",0.95
3683,Areas in rooms or spaces over which ceiling height and clear height are not less than the minimum specified in Table 9.5.3.1. or Sentence 9.5.3.1.(2)or 9.5.3.1.(3) shall be contiguous with the entry or entries to those rooms or spaces.,Areas in rooms or spaces over which ceiling height and clear height are not less than the minimum specified in Table 9.5.3.1. or Sentence 9.5.3.1.(2) or 9.5.3.1.(3) shall be contiguous with the entry or entries to those rooms or spaces.,0.95
6528,"Glass used in buildings shall be designed in conformance with CGSB CAN/CGSB-12.20-M89 Structural Design of Glass for Buildings using an adjustment factor on the wind load, W, of not less than 0.75, or ASTM E 1300-12ae1 Determining Load Resistance of Glass in Buildings using an adjustment factor on the wind load, W, of not less than 1.0. (See Note A-4.3.6.1.(1).)","Glass used in buildings shall be designed in conformance with CGSB CAN/CGSB-12.20-M89 Structural Design of Glass for Buildings using an adjustment factor on the wind load, W, of not less than 0.75, or ASTM E 1300-12ae1 Determining Load Resistance of Glass in Buildings using an adjustment factor on the wind load, W, of not less than 1.0.",0.95
3021,"Except as provided in Sentences 4.1.6.7.(2)and 4.1.6.7.(3), the accumulation factor, Ca, for areas adjacent to roof-mounted vertical projections shall be calculated in accordance with Sentence 4.1.6.5.(1) using the following values for the peak accumulation factor, Ca0, and the drift length, xd: Ca0 shall be taken as the lesser of 0.67ghCbSsandgl07.5CbSs+1,and xd shall be taken as the lesser of 3.35h and (2/3)l0, whereh= height of the projection, and l0= longest horizontal dimension of the projection. (See Note A-4.1.6.7.(1).)","Except as provided in Sentences 4.1.6.7.(2) and 4.1.6.7.(3), the accumulation factor, Ca, for areas adjacent to roof-mounted vertical projections shall be calculated in accordance with Sentence 4.1.6.5.(1) using the following values for the peak accumulation factor, Ca0, and the drift length, xd: Ca0 shall be taken as the lesser of 0.67ghCbSsandgl07.5CbSs+1,and xd shall be taken as the lesser of 3.35h and (2/3)l0, whereh= height of the projection, and l0 = longest horizontal dimension of the projection. (See Note A-4.1.6.7.(1).)",0.9493670886075949
1260,"In addition to other requirements in this Code for the installation of automatic fire extinguishing systems, an appropriate fire extinguishing system shall be installed in every industrial occupancyfloor area to provide protection if required by provincial or territorial regulations or municipal bylaws, or the NFC, in the absence of the regulations or bylaws referred to in Clause 3.3.5.2.(1)(a).","In addition to other requirements in this Code for the installation of automatic fire extinguishing systems, an appropriate fire extinguishing system shall be installed in every industrial occupancy floor area to provide protection if required by provincial or territorial regulations or municipal bylaws, or the NFC, in the absence of the regulations or bylaws referred to in Clause (a).",0.9491525423728814
6348,"Except as provided in Sentences 9.10.15.5.(8)to 9.10.15.5.(11), Sentence 9.10.15.5.(5) shall not apply to buildings containing 1 or 2 dwelling units only, and detached garages or accessory buildings, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property. (See Note A-9.10.14.5.(7).)","Except as provided in Sentences 9.10.15.5.(8) to 9.10.15.5.(11), Sentence 9.10.15.5.(5) shall not apply to buildings containing 1 or 2 dwelling units only, and detached garages or accessory buildings, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property.",0.9487179487179487
680,Children’s custodial homes and convalescent homes for ambulatory occupants living as a single housekeeping unit in a dwelling unit with sleeping accommodation for not more than 10 persons are permitted to be classified as residential occupancies (Group C).,Children s custodial homes and convalescent homes for ambulatory occupants living as a single housekeeping unit in a dwelling unit with sleeping accommodation for not more than 10 persons are permitted to be classified as residential occupancies (Group C).,0.9487179487179487
